locus_tag	ftype	length_bp	gene	EC_number	COG	product
OEAHBEAM_00046	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
OEAHBEAM_00047	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
OEAHBEAM_00048	CDS	234				hypothetical protein
OEAHBEAM_00049	CDS	315	ccdB_1			Toxin CcdB
OEAHBEAM_00050	CDS	849	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
OEAHBEAM_00051	CDS	378	apaG		COG2967	Protein ApaG
OEAHBEAM_00052	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
OEAHBEAM_00053	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
OEAHBEAM_00054	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
OEAHBEAM_00055	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
OEAHBEAM_00056	CDS	816	djlA		COG1076	Co-chaperone protein DjlA
OEAHBEAM_00057	CDS	753				hypothetical protein
OEAHBEAM_00058	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
OEAHBEAM_00059	CDS	2907	rapA_1	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
OEAHBEAM_00060	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
OEAHBEAM_00061	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
OEAHBEAM_00062	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
OEAHBEAM_00063	CDS	1701	araB	2.7.1.16	COG1069	Ribulokinase
OEAHBEAM_00064	CDS	879	araC			Arabinose operon regulatory protein
OEAHBEAM_00065	CDS	765	yabI		COG0586	Inner membrane protein YabI
OEAHBEAM_00066	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
OEAHBEAM_00067	CDS	1611				hypothetical protein
OEAHBEAM_00068	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
OEAHBEAM_00069	CDS	570				hypothetical protein
OEAHBEAM_00070	CDS	108				hypothetical protein
OEAHBEAM_00071	CDS	1659	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
OEAHBEAM_00072	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
OEAHBEAM_00073	CDS	1401	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
OEAHBEAM_00074	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
OEAHBEAM_00075	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
OEAHBEAM_00076	CDS	945	leuO			HTH-type transcriptional regulator LeuO
OEAHBEAM_00077	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
OEAHBEAM_00078	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
OEAHBEAM_00079	CDS	1005	cra		COG1609	Catabolite repressor/activator
OEAHBEAM_00080	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
OEAHBEAM_00081	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
OEAHBEAM_00082	CDS	366	ftsL		COG3116	Cell division protein FtsL
OEAHBEAM_00083	CDS	1767	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
OEAHBEAM_00084	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
OEAHBEAM_00085	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
OEAHBEAM_00086	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
OEAHBEAM_00087	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
OEAHBEAM_00088	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
OEAHBEAM_00089	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
OEAHBEAM_00090	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
OEAHBEAM_00091	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
OEAHBEAM_00092	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
OEAHBEAM_00093	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
OEAHBEAM_00094	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
OEAHBEAM_00095	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
OEAHBEAM_00096	CDS	588	secM			Secretion monitor
OEAHBEAM_00097	CDS	2706	secA		COG0653	Protein translocase subunit SecA
OEAHBEAM_00098	CDS	390	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
OEAHBEAM_00099	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
OEAHBEAM_00100	CDS	744	zapD		COG4582	Cell division protein ZapD
OEAHBEAM_00101	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
OEAHBEAM_00102	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
OEAHBEAM_00103	CDS	1203	epsF_1		COG1459	Type II secretion system protein F
OEAHBEAM_00104	CDS	1386	epsE_1		COG2804	Type II secretion system protein E
OEAHBEAM_00105	CDS	441				hypothetical protein
OEAHBEAM_00106	CDS	894	nadC_1	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
OEAHBEAM_00107	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
OEAHBEAM_00108	CDS	855	ampE		COG3725	Protein AmpE
OEAHBEAM_00109	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
OEAHBEAM_00110	CDS	765	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
OEAHBEAM_00111	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
OEAHBEAM_00112	CDS	1893	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
OEAHBEAM_00113	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
OEAHBEAM_00114	CDS	1854				hypothetical protein
OEAHBEAM_00115	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
OEAHBEAM_00116	CDS	363				hypothetical protein
OEAHBEAM_00117	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
OEAHBEAM_00118	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
OEAHBEAM_00119	CDS	309				hypothetical protein
OEAHBEAM_00120	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
OEAHBEAM_00121	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
OEAHBEAM_00122	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
OEAHBEAM_00123	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
OEAHBEAM_00124	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
OEAHBEAM_00125	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
OEAHBEAM_00126	CDS	441				hypothetical protein
OEAHBEAM_00127	CDS	1230				hypothetical protein
OEAHBEAM_00128	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
OEAHBEAM_00129	CDS	897				ISNCY family transposase ISRor2
OEAHBEAM_00130	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
OEAHBEAM_00131	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
OEAHBEAM_00132	CDS	1110				hypothetical protein
OEAHBEAM_00133	CDS	591	yadK			putative fimbrial-like protein YadK
OEAHBEAM_00134	CDS	606	yadL			putative fimbrial-like protein YadL
OEAHBEAM_00135	CDS	549	yadM			putative fimbrial-like protein YadM
OEAHBEAM_00136	CDS	2601	htrE		COG3188	Outer membrane usher protein HtrE
OEAHBEAM_00137	CDS	726	yadV_1			putative fimbrial chaperone YadV
OEAHBEAM_00138	CDS	597	yadN			putative fimbrial-like protein YadN
OEAHBEAM_00139	CDS	483	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
OEAHBEAM_00140	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
OEAHBEAM_00141	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
OEAHBEAM_00142	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
OEAHBEAM_00143	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
OEAHBEAM_00144	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
OEAHBEAM_00145	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
OEAHBEAM_00146	CDS	2535	mrcB		COG0744	Penicillin-binding protein 1B
OEAHBEAM_00147	CDS	2244	fhuA		COG1629	Ferrichrome outer membrane transporter/phage receptor
OEAHBEAM_00148	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
OEAHBEAM_00149	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
OEAHBEAM_00150	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
OEAHBEAM_00151	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
OEAHBEAM_00152	CDS	1422	clcA			H(+)/Cl(-) exchange transporter ClcA
OEAHBEAM_00153	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
OEAHBEAM_00154	CDS	624				hypothetical protein
OEAHBEAM_00155	CDS	801	btuF		COG0614	Vitamin B12-binding protein
OEAHBEAM_00156	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
OEAHBEAM_00157	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
OEAHBEAM_00158	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
OEAHBEAM_00159	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
OEAHBEAM_00160	CDS	387				hypothetical protein
OEAHBEAM_00161	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
OEAHBEAM_00162	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
OEAHBEAM_00163	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
OEAHBEAM_00164	CDS	726	rpsB		COG0052	30S ribosomal protein S2
OEAHBEAM_00165	CDS	852	tsf		COG0264	Elongation factor Ts
OEAHBEAM_00166	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
OEAHBEAM_00167	CDS	558	frr		COG0233	Ribosome-recycling factor
OEAHBEAM_00168	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
OEAHBEAM_00169	CDS	759	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
OEAHBEAM_00170	CDS	153				hypothetical protein
OEAHBEAM_00171	CDS	750	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
OEAHBEAM_00172	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
OEAHBEAM_00173	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
OEAHBEAM_00174	CDS	486	skp		COG2825	Chaperone protein Skp
OEAHBEAM_00175	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
OEAHBEAM_00176	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
OEAHBEAM_00177	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
OEAHBEAM_00178	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
OEAHBEAM_00179	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
OEAHBEAM_00180	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
OEAHBEAM_00181	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
OEAHBEAM_00182	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
OEAHBEAM_00183	CDS	390				hypothetical protein
OEAHBEAM_00184	CDS	1299	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
OEAHBEAM_00185	CDS	261	rof		COG4568	Protein rof
OEAHBEAM_00186	CDS	201				hypothetical protein
OEAHBEAM_00187	CDS	546	yaeQ		COG4681	putative protein YaeQ
OEAHBEAM_00188	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
OEAHBEAM_00189	CDS	711	nlpE		COG3015	Lipoprotein NlpE
OEAHBEAM_00190	CDS	825				hypothetical protein
OEAHBEAM_00191	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
OEAHBEAM_00192	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
OEAHBEAM_00193	CDS	405	rcsF			Outer membrane lipoprotein RcsF
OEAHBEAM_00194	CDS	816	metQ		COG1464	D-methionine-binding lipoprotein MetQ
OEAHBEAM_00195	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
OEAHBEAM_00196	CDS	1032	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
OEAHBEAM_00197	CDS	576	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
OEAHBEAM_00198	rRNA	1538				16S ribosomal RNA
OEAHBEAM_00199	tRNA	77				tRNA-Ile(gat)
OEAHBEAM_00200	tRNA	76				tRNA-Ala(tgc)
OEAHBEAM_00201	rRNA	2900				23S ribosomal RNA
OEAHBEAM_00202	rRNA	111				5S ribosomal RNA
OEAHBEAM_00203	tRNA	77				tRNA-Asp(gtc)
OEAHBEAM_00204	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
OEAHBEAM_00205	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
OEAHBEAM_00206	CDS	780				hypothetical protein
OEAHBEAM_00207	CDS	771	ycgJ	2.1.1.-		putative methyltransferase YcgJ
OEAHBEAM_00208	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
OEAHBEAM_00209	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
OEAHBEAM_00210	CDS	723				hypothetical protein
OEAHBEAM_00211	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
OEAHBEAM_00212	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
OEAHBEAM_00213	tRNA	77				tRNA-Asp(gtc)
OEAHBEAM_00214	CDS	801				hypothetical protein
OEAHBEAM_00215	CDS	297				hypothetical protein
OEAHBEAM_00216	CDS	450				hypothetical protein
OEAHBEAM_00217	CDS	597				hypothetical protein
OEAHBEAM_00218	CDS	222				hypothetical protein
OEAHBEAM_00219	CDS	480	hcpA_1		COG3157	Major exported protein
OEAHBEAM_00220	CDS	1410				hypothetical protein
OEAHBEAM_00221	CDS	3435				hypothetical protein
OEAHBEAM_00222	CDS	795				hypothetical protein
OEAHBEAM_00223	CDS	621				hypothetical protein
OEAHBEAM_00224	CDS	744				hypothetical protein
OEAHBEAM_00225	CDS	2772	clpV1		COG0542	Protein ClpV1
OEAHBEAM_00226	CDS	762				hypothetical protein
OEAHBEAM_00227	CDS	1332				hypothetical protein
OEAHBEAM_00228	CDS	525				hypothetical protein
OEAHBEAM_00229	CDS	1281				hypothetical protein
OEAHBEAM_00230	CDS	1083				hypothetical protein
OEAHBEAM_00231	CDS	1851				hypothetical protein
OEAHBEAM_00232	CDS	414				hypothetical protein
OEAHBEAM_00233	CDS	1392				hypothetical protein
OEAHBEAM_00234	CDS	225				hypothetical protein
OEAHBEAM_00235	CDS	501				hypothetical protein
OEAHBEAM_00236	CDS	519	hcpA_2		COG3157	Major exported protein
OEAHBEAM_00237	CDS	2142				hypothetical protein
OEAHBEAM_00238	CDS	4215	rhsD_1		COG3209	Protein RhsD
OEAHBEAM_00239	CDS	546				hypothetical protein
OEAHBEAM_00240	CDS	1137				ISAs1 family transposase ISEc1
OEAHBEAM_00241	CDS	1761	rhsD_2		COG3209	Protein RhsD
OEAHBEAM_00242	CDS	483				hypothetical protein
OEAHBEAM_00243	CDS	747				ISAs1 family transposase ISEc26
OEAHBEAM_00244	CDS	771	yafV	3.5.1.3		Omega-amidase YafV
OEAHBEAM_00245	CDS	447	ivy			Inhibitor of vertebrate lysozyme
OEAHBEAM_00246	CDS	2445	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
OEAHBEAM_00247	CDS	579	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
OEAHBEAM_00248	CDS	768	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
OEAHBEAM_00249	CDS	741				hypothetical protein
OEAHBEAM_00250	CDS	279	yafQ	3.1.-.-	COG3041	mRNA interferase toxin YafQ
OEAHBEAM_00251	CDS	261	dinJ		COG3077	Antitoxin DinJ
OEAHBEAM_00252	CDS	627				hypothetical protein
OEAHBEAM_00253	CDS	297	rayT		COG1943	REP-associated tyrosine transposase
OEAHBEAM_00254	CDS	1740	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
OEAHBEAM_00255	CDS	636	lafU		COG1360	Chemotaxis protein LafU
OEAHBEAM_00256	CDS	1056	dinB	2.7.7.7	COG0389	DNA polymerase IV
OEAHBEAM_00257	CDS	294	yafN		COG2161	Antitoxin YafN
OEAHBEAM_00258	CDS	399	yafO	3.1.-.-		mRNA interferase toxin YafO
OEAHBEAM_00259	CDS	375	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
OEAHBEAM_00260	CDS	267				hypothetical protein
OEAHBEAM_00261	CDS	501	prfB_1			Peptide chain release factor 2
OEAHBEAM_00262	CDS	1458	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
OEAHBEAM_00263	CDS	459	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
OEAHBEAM_00264	CDS	1245				hypothetical protein
OEAHBEAM_00265	CDS	402	crl			Sigma factor-binding protein Crl
OEAHBEAM_00266	CDS	1056	phoE		COG3203	Outer membrane porin PhoE
OEAHBEAM_00267	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
OEAHBEAM_00268	CDS	1254	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
OEAHBEAM_00269	tRNA	76				tRNA-Thr(cgt)
OEAHBEAM_00270	CDS	975	xerD_1			Tyrosine recombinase XerD
OEAHBEAM_00271	CDS	390				hypothetical protein
OEAHBEAM_00272	CDS	714	lexA_1	3.4.21.88		LexA repressor
OEAHBEAM_00273	CDS	201				hypothetical protein
OEAHBEAM_00274	CDS	294				hypothetical protein
OEAHBEAM_00275	CDS	609				hypothetical protein
OEAHBEAM_00276	CDS	375				hypothetical protein
OEAHBEAM_00277	CDS	312				hypothetical protein
OEAHBEAM_00278	CDS	795				hypothetical protein
OEAHBEAM_00279	CDS	594	tfaE_1			Prophage tail fiber assembly protein TfaE
OEAHBEAM_00280	CDS	444				hypothetical protein
OEAHBEAM_00281	CDS	411				hypothetical protein
OEAHBEAM_00282	CDS	555	hin_1		COG1961	DNA-invertase hin
OEAHBEAM_00283	CDS	774				hypothetical protein
OEAHBEAM_00284	CDS	744	ydeO_1		COG2207	HTH-type transcriptional regulator YdeO
OEAHBEAM_00285	CDS	354				IS3 family transposase ISEc48
OEAHBEAM_00286	CDS	1182	intS_1		COG0582	Prophage integrase IntS
OEAHBEAM_00287	CDS	417				hypothetical protein
OEAHBEAM_00288	CDS	618				hypothetical protein
OEAHBEAM_00289	CDS	459				hypothetical protein
OEAHBEAM_00290	CDS	633				hypothetical protein
OEAHBEAM_00291	CDS	591				hypothetical protein
OEAHBEAM_00292	CDS	567				hypothetical protein
OEAHBEAM_00293	CDS	273				hypothetical protein
OEAHBEAM_00294	CDS	552				hypothetical protein
OEAHBEAM_00295	CDS	753				hypothetical protein
OEAHBEAM_00296	CDS	261				hypothetical protein
OEAHBEAM_00297	CDS	558				hypothetical protein
OEAHBEAM_00298	CDS	222				hypothetical protein
OEAHBEAM_00299	CDS	324				hypothetical protein
OEAHBEAM_00300	CDS	2334				hypothetical protein
OEAHBEAM_00301	CDS	957				hypothetical protein
OEAHBEAM_00302	CDS	900	pgrR_1			HTH-type transcriptional regulator PgrR
OEAHBEAM_00303	CDS	723		1.-.-.-		putative oxidoreductase
OEAHBEAM_00304	CDS	279				hypothetical protein
OEAHBEAM_00305	CDS	903	pgrR_2			HTH-type transcriptional regulator PgrR
OEAHBEAM_00306	CDS	1059			COG1073	putative protein
OEAHBEAM_00307	CDS	1128	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
OEAHBEAM_00308	CDS	957	paoD		COG1975	Molybdenum cofactor insertion chaperone PaoD
OEAHBEAM_00309	CDS	2199	paoC	1.2.99.6	COG1529	Aldehyde oxidoreductase molybdenum-binding subunit PaoC
OEAHBEAM_00310	CDS	957	paoB	1.2.99.6	COG1319	Aldehyde oxidoreductase FAD-binding subunit PaoB
OEAHBEAM_00311	CDS	690	paoA	1.2.99.6	COG2080	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
OEAHBEAM_00312	CDS	615	yagU		COG3477	Inner membrane protein YagU
OEAHBEAM_00313	CDS	711	ecpE			putative fimbrial chaperone EcpE
OEAHBEAM_00314	CDS	1644	ecpD			Fimbria adhesin EcpD
OEAHBEAM_00315	CDS	2526	ecpC			putative outer membrane usher protein EcpC
OEAHBEAM_00316	CDS	669	ecpB			putative fimbrial chaperone EcpB
OEAHBEAM_00317	CDS	588	ecpA			Common pilus major fimbrillin subunit EcpA
OEAHBEAM_00318	CDS	543	ecpR			HTH-type transcriptional regulator EcpR
OEAHBEAM_00319	CDS	192				hypothetical protein
OEAHBEAM_00320	CDS	141	ykgO		COG0257	50S ribosomal protein L36 2
OEAHBEAM_00321	CDS	267	ykgM_1		COG0254	50S ribosomal protein L31 type B
OEAHBEAM_00322	CDS	123				hypothetical protein
OEAHBEAM_00323	CDS	381				hypothetical protein
OEAHBEAM_00324	CDS	348				hypothetical protein
OEAHBEAM_00325	CDS	1539				IS66 family transposase ISEc8
OEAHBEAM_00326	CDS	102	ykgR			putative membrane protein YkgR
OEAHBEAM_00327	CDS	1143		1.-.-.-		NADH oxidase
OEAHBEAM_00328	CDS	921	ycjY_1		COG1073	putative protein YcjY
OEAHBEAM_00329	CDS	927	pgrR_3			HTH-type transcriptional regulator PgrR
